,experiment,policy,Gain,Final Value,Initial Value,num_stocks,pct_variance,initial_budget,trading_fee,average_error,status,runtime,leftover_cash
184,24_165315_164807_4,DayTrading,-0.055158515561201334,156196.47,165315.0,24,9.269575116886713e-05,165315,4,5.768769890513513,Infeasible,77.27853155136108,7.410000000013832
185,24_165315_164807_4,Directional,0.003682847896440228,165923.83000000002,165315.0,24,9.269575116886713e-05,165315,4,5.768769890513513,Infeasible,31.78170657157898,7412.499999999998
186,24_187994_187857_5,Naive,-0.06297280768651313,176155.48999178165,187994.0,24,0.0008051239935656845,187994,5,8.95427376724811,Complete,5.09954571723938,1.049991781635697
187,24_187994_187857_5,DayTrading,0.4748949434556417,277271.3999999999,187994.0,24,0.0008051239935656845,187994,5,8.95427376724811,Complete,123.95588159561157,1.939999999927057
188,24_187994_187857_5,Directional,-0.055989659244444136,177468.27999999997,187994.0,24,0.0008051239935656845,187994,5,8.95427376724811,Infeasible,58.89268112182617,8.029999999983655
189,24_202122_201984_3,Naive,0.031039520685526654,208395.77000000002,202122.0,24,0.00019678179008066868,202122,3,9.308471597382063,Complete,5.142511367797852,2.780000000028025
190,24_202122_201984_3,DayTrading,0.13217329127422306,228837.1299789285,202122.0,24,0.00019678179008066868,202122,3,9.308471597382063,Complete,96.88213062286377,2.9699785630553635
191,24_202122_201984_3,Directional,0.03432040055016304,209058.90800000005,202122.0,24,0.00019678179008066868,202122,3,9.308471597382063,Infeasible,50.494322538375854,2653.308000000022
192,24_229936_229635_6,Naive,0.021606512224075586,234904.11499475504,229936.0,24,0.0005267032832252128,229936,6,9.503611772650808,Complete,5.0971808433532715,4.03999475504753
193,24_229936_229635_6,DayTrading,-0.0215068540811358,224990.79999999996,229936.0,24,0.0005267032832252128,229936,6,9.503611772650808,Infeasible,105.65978717803955,5.129999999977883
194,24_229936_229635_6,Directional,0.021813221940018047,234951.645,229936.0,24,0.0005267032832252128,229936,6,9.503611772650808,Infeasible,35.94005465507507,1747.5199999999882
195,24_274078_270773_6,Naive,0.0106932697577337,277008.78998866014,274078.0,24,0.0001555932754848717,274078,6,6.171020946321986,Complete,5.142428636550903,0.31998866017102046
196,24_274078_270773_6,DayTrading,0.08913278335676447,298507.3349968553,274078.0,24,0.0001555932754848717,274078,6,6.171020946321986,Complete,120.53362774848938,0.7849968552591093
197,24_274078_270773_6,Directional,0.011617568721313106,277262.12000000005,274078.0,24,0.0001555932754848717,274078,6,6.171020946321986,Infeasible,18.06389808654785,4.389999999997201
198,24_281149_281069_4,Naive,0.0020337614442908934,281720.78999630094,281149.0,24,0.0002495990819076844,281149,4,5.788569818455319,Complete,5.1894426345825195,0.15999630092113648
199,24_281149_281069_4,DayTrading,0.16059448904243454,326299.9799997914,281149.0,24,0.0002495990819076844,281149,4,5.788569818455319,Complete,60.75390267372131,1.4699998638626113
200,24_281149_281069_4,Directional,0.0029173854433059703,281969.22000000003,281149.0,24,0.0002495990819076844,281149,4,5.788569818455319,Infeasible,20.533814668655396,63.31000000002646
201,24_331742_330406_5,Naive,-0.010198557915488654,328358.70999999996,331742.0,24,0.00024454652816654273,331742,5,9.905300740426238,Complete,5.223381519317627,0.14000000001760782
202,24_331742_330406_5,DayTrading,0.10754936064659831,367420.6399996238,331742.0,24,0.00024454652816654273,331742,5,9.905300740426238,Complete,104.64953184127808,0.05999372190988783
203,24_331742_330406_5,Directional,-0.004656992482109542,330197.08,331742.0,24,0.00024454652816654273,331742,5,9.905300740426238,Infeasible,64.86135029792786,97.00000000001421
204,24_43159_41962_6,Naive,0.052591347899918844,45428.7899840126,43159.0,24,0.00029480414808188087,43159,6,6.703905167823243,Complete,5.26943039894104,1.4999840126042727
205,24_43159_41962_6,DayTrading,0.22906531661994012,53045.229999999996,43159.0,24,0.00029480414808188087,43159,6,6.703905167823243,Complete,2511.911877632141,0.5099999999938518
206,24_43159_41962_6,Directional,0.051332514655112474,45374.46,43159.0,24,0.00029480414808188087,43159,6,6.703905167823243,Infeasible,237.10836744308472,0.6800000000018258
207,24_50600_48981_4,Naive,0.0765640312065492,54474.13997905139,50600.0,24,0.0003353760407120497,50600,4,9.703651750288069,Complete,5.3176610469818115,0.4399790513853077
208,24_50600_48981_4,DayTrading,0.5857053359683798,80236.69000000002,50600.0,24,0.0003353760407120497,50600,4,9.703651750288069,Complete,1074.3514635562897,0.6000000000209482
209,24_50600_48981_4,Directional,0.08807727272727285,55056.71000000001,50600.0,24,0.0003353760407120497,50600,4,9.703651750288069,Infeasible,528.0956885814667,409.33000000000135
210,25_141570_141307_5,Naive,0.014172776658357401,143576.43999152366,141570.0,25,0.0003620715249124846,141570,5,8.69619596812156,Complete,5.312654972076416,0.9899915236465517
211,25_141570_141307_5,DayTrading,0.1342446845952839,160575.01999815434,141570.0,25,0.0003620715249124846,141570,5,8.69619596812156,Complete,141.11077165603638,0.019997617488186403
212,25_141570_141307_5,Directional,0.01650208377481113,143906.2,141570.0,25,0.0003620715249124846,141570,5,8.69619596812156,Infeasible,32.22674918174744,667.6300000000165
213,25_148295_148287_2,Naive,0.0016968205266529866,148546.63,148295.0,25,0.0003831530587413393,148295,2,9.02709131948482,Complete,5.376303434371948,2.0399999999967804
214,25_148295_148287_2,DayTrading,0.010990660503667269,149924.85999939134,148295.0,25,0.0003831530587413393,148295,2,9.02709131948482,Complete,180.6207594871521,0.10999939134357994
215,25_148295_148287_2,Directional,0.006759836811760225,149297.44999999998,148295.0,25,0.0003831530587413393,148295,2,9.02709131948482,Infeasible,27.636510610580444,13.839999999994461
216,25_163781_163350_6,Naive,-0.003353441539121974,163231.76999128106,163781.0,25,0.00021146160926968776,163781,6,7.507678307240491,Complete,5.386471509933472,9.599991281038797
217,25_163781_163350_6,DayTrading,-0.052029478388824116,155259.56,163781.0,25,0.00021146160926968776,163781,6,7.507678307240491,Infeasible,165.1210904121399,7.400000000000026
218,25_163781_163350_6,Directional,-0.004997466128549653,162962.51,163781.0,25,0.00021146160926968776,163781,6,7.507678307240491,Infeasible,44.56063437461853,5590.780000000001
219,25_276958_273078_6,Naive,-0.07699098784286271,255634.72998901643,276958.0,25,0.00021534976325499562,276958,6,8.09526782611002,Complete,5.450657606124878,0.9899890164119824
220,25_276958_273078_6,DayTrading,0.06271322685579754,294326.929883528,276958.0,25,0.00021534976325499562,276958,6,8.09526782611002,Complete,236.9028422832489,2.9694672962412296
221,25_276958_273078_6,Directional,-0.0604773647989948,260208.31,276958.0,25,0.00021534976325499562,276958,6,8.09526782611002,Infeasible,14.085311651229858,17509.220000000016
222,25_32007_30469_9,Naive,-0.007617084483314952,31763.19997694254,32007.0,25,0.0002637585526197714,32007,9,9.853967519626273,Complete,5.446674823760986,2.4399769425453997
223,25_32007_30469_9,DayTrading,-0.020672977786108958,31345.32000000001,32007.0,25,0.0002637585526197714,32007,9,9.853967519626273,Complete,737.6665172576904,1.710000000014304
224,25_32007_30469_9,Directional,-0.01210391476864424,31619.590000000004,32007.0,25,0.0002637585526197714,32007,9,9.853967519626273,Infeasible,2189.4021661281586,107.9400000000013
225,25_34746_33665_4,Naive,-0.08392563241322983,31829.919976169916,34746.0,25,0.00025085127695289705,34746,4,7.73302248346529,Complete,5.47325873374939,0.5999761699163173
226,25_34746_33665_4,DayTrading,-0.10194036723651645,31203.98,34746.0,25,0.00025085127695289705,34746,4,7.73302248346529,Complete,2318.701995372772,0.2900000000008731
