,experiment,policy,Gain,Final Value,Initial Value,num_stocks,pct_variance,initial_budget,trading_fee,average_error,status,runtime,leftover_cash
32,34_246118_244883_8,Directional,0.0209977734257551,251285.93,246118.0,34,0.0003043896807962027,246118,8,9.880939303321096,Infeasible,31.064234972000122,26995.120000000024
33,34_319253_316377_8,Naive,0.018188270686671223,325059.65998153185,319253.0,34,0.00023780979982644546,319253,8,7.652923854628115,Complete,3.6687135696411133,4.649981531860249
34,34_319253_316377_8,DayTrading,0.007628604900454216,321688.4550002847,319253.0,34,0.00023780979982644546,319253,8,7.652923854628115,Complete,125.2948670387268,0.4349860412218085
35,34_319253_316377_8,Directional,0.021100475171728868,325989.38999999996,319253.0,34,0.00023780979982644546,319253,8,7.652923854628115,Infeasible,78.32396221160889,10484.959999999955
36,34_345153_344728_5,Naive,0.0367785445651024,357847.2249922788,345153.0,34,0.0003924998412259923,345153,5,8.607608215593553,Complete,3.7987453937530518,0.2149922787659193
37,34_345153_344728_5,DayTrading,0.13440265621302838,391542.4799998954,345153.0,34,0.0003924998412259923,345153,5,8.607608215593553,Complete,71.53998327255249,0.08999989529395314
38,34_345153_344728_5,Directional,0.036655280411875296,357804.68,345153.0,34,0.0003924998412259923,345153,5,8.607608215593553,Infeasible,41.88600707054138,5291.539999999984
39,35_122768_121969_9,Naive,0.031462310766518016,126630.56496818388,122768.0,35,0.0002285843892398548,122768,9,6.91488003109326,Complete,3.758443832397461,0.009968183888418025
40,35_122768_121969_9,DayTrading,0.007300436595855673,123664.26000000001,122768.0,35,0.0002285843892398548,122768,9,6.91488003109326,Infeasible,346.9640235900879,10.360000000000582
41,35_122768_121969_9,Directional,0.0339998208002085,126942.09,122768.0,35,0.0002285843892398548,122768,9,6.91488003109326,Infeasible,341.06534337997437,6653.369999999999
42,35_147762_146273_9,Naive,-0.011509183869064878,146061.37997313924,147762.0,35,0.00021199548005247876,147762,9,8.400443660168632,Complete,3.832289457321167,0.9599731392390822
43,35_147762_146273_9,DayTrading,-0.06702338896333299,137858.49,147762.0,35,0.00021199548005247876,147762,9,8.400443660168632,Infeasible,142.9917345046997,11.339999999996508
44,35_147762_146273_9,Directional,-0.007269731053992246,146687.81,147762.0,35,0.00021199548005247876,147762,9,8.400443660168632,Infeasible,235.72235989570618,111.42000000000144
45,35_20600_19967_8,Naive,0.0010805775473654118,20622.259897475727,20600.0,35,0.0002628780262459953,20600,8,9.051446738788014,Complete,3.9054980278015137,0.5098974757281667
46,35_20600_19967_8,DayTrading,-0.08829757326122613,18781.06999081874,20600.0,35,0.0002628780262459953,20600,8,9.051446738788014,Complete,3711.1823151111603,0.06998781348782401
47,35_20600_19967_8,Directional,-0.04124320388349517,19750.39,20600.0,35,0.0002628780262459953,20600,8,9.051446738788014,Infeasible,756.6772465705872,12.51999999999822
48,35_307272_306625_4,Naive,0.09768026372222159,337286.4099944545,307272.0,35,0.00020597509986787792,307272,4,6.246876341104907,Complete,3.8832955360412598,10.249994454484522
