,experiment,horizon,forecast_model,policy,Gain,Final Value,Initial Value,num_stocks,initial_budget,trading_fee,status,total_runtime,forecast_time,solve_time,leftover_cash,penalty,total_trades,total_trading_costs
38,20190513_34_21_9_11781,34,GBM,SeededDirectional,-0.011315718633995945,11716.234999999999,11850.33,21,11781.86,9,Complete,18.1862895488739,0.40078091621398926,14.576057195663452,1465.594999999999,,17,153
39,20190527_49_32_6_24355,49,GBM,Naive,0.03855721086810804,25309.66000000001,24370.02,32,24355.24,6,Complete,5.936450481414795,1.2429776191711426,0.14911389350891113,0.5900000000092405,,20,120
40,20190527_49_32_6_24355,49,GBM,Directional,0.0014608112754935032,24405.620000000003,24370.02,32,24355.24,6,Complete,509.04610419273376,1.5683486461639404,502.96816968917847,9.850000000003092,,31,186
41,20190527_49_32_6_24355,49,GBM,SeededDirectional,0.005141563281441825,24495.320000000003,24370.02,32,24355.24,6,Complete,92.15293979644775,1.4876861572265625,86.23885083198547,45.54000000000565,,33,198
42,20190730_39_38_4_203864,39,GBM,Naive,-0.01193481313175551,199828.24,202241.95999999996,38,203864.18,4,Complete,4.867414951324463,1.039771318435669,0.10880875587463379,0.17999999998210114,,36,144
43,20190730_39_38_4_203864,39,GBM,Directional,0.016427649336468283,205564.32,202241.95999999996,38,203864.18,4,Complete,26.146272897720337,0.9550464153289795,21.414165258407593,85.28999999999724,,46,184
44,20190730_39_38_4_203864,39,GBM,SeededDirectional,0.012714868863019525,204813.44,202241.95999999996,38,203864.18,4,Complete,85.09516644477844,1.2892377376556396,80.0539243221283,3.099999999998545,,46,184
45,20190812_69_22_4_339370,69,GBM,Naive,0.11814182264115113,385148.77,344454.30999999994,22,339370.37,4,Complete,8.941450119018555,2.106717824935913,0.13253998756408691,1.5999999999894499,,20,80
46,20190812_69_22_4_339370,69,GBM,Directional,0.10148022244227414,379409.61,344454.30999999994,22,339370.37,4,Infeasible,340.9153640270233,2.178410053253174,332.1596977710724,70.0199999999868,,28,112
47,20190812_69_22_4_339370,69,GBM,SeededDirectional,0.09853739382735571,378395.94,344454.30999999994,22,339370.37,4,Infeasible,49.147361516952515,2.0510008335113525,40.27391767501831,85.98999999998614,,31,124
48,20190819_87_19_7_168529,87,GBM,Naive,0.07531519664195054,180634.91999999998,167983.22999999998,19,168529.57,7,Complete,11.634327173233032,2.8341193199157715,0.12808728218078613,0.24999999998544808,,15,105
49,20190819_87_19_7_168529,87,GBM,Directional,0.049643169737836515,176322.45,167983.22999999998,19,168529.57,7,Complete,424.96158742904663,2.7086446285247803,413.5722370147705,18.62000000000262,,23,161
50,20190819_87_19_7_168529,87,GBM,SeededDirectional,0.03941941109240516,174605.03000000003,167983.22999999998,19,168529.57,7,Infeasible,742.5588920116425,2.656785011291504,731.0669910907745,11378.210000000014,,19,133
51,20191004_30_33_5_140418,30,GBM,Naive,0.0907273129037435,152179.18000000002,139520.83000000002,33,140418.16,5,Complete,3.93442964553833,0.6193199157714844,0.11858630180358887,0.3700000000117143,,29,145
