,experiment,policy,Gain,Final Value,Initial Value,num_stocks,pct_variance,initial_budget,trading_fee,average_error,status,runtime,leftover_cash,penalty,total_trades,total_trading_costs
62,20_344413_342723_9,DirectionalIncentive_25.0,0.035953288638930665,356795.78,344413.0,20,0.00022593391248032805,344413,9,9.004332116482034,Complete,12.772874355316162,1685.3300000000017,0.25,26,234
63,20_344413_342723_9,DirectionalIncentive_50.0,0.030302834097435186,354849.68999999994,344413.0,20,0.00022593391248032805,344413,9,9.004332116482034,Infeasible,16.511292695999146,21561.730000000003,0.5,17,153
64,20_344413_342723_9,DirectionalIncentive_75.0,0.030302834097435186,354849.68999999994,344413.0,20,0.00022593391248032805,344413,9,9.004332116482034,Infeasible,20.639777183532715,21561.730000000003,0.75,17,153
65,20_344413_342723_9,Naive,0.035677457006558895,356700.77999999997,344413.0,20,0.00022593391248032805,344413,9,9.004332116482034,Complete,5.0358428955078125,2.0100000000056752,,17,153
66,20_347491_347281_5,Directional,0.048709405423449696,364417.07999999996,347491.0,20,0.0002868316317949674,347491,5,8.627440167501874,Infeasible,17.8139226436615,3558.8499999999885,,13,65
67,20_347491_347281_5,DirectionalIncentive_0,0.041811385043066245,362020.08000000013,347491.0,20,0.0002868316317949674,347491,5,8.627440167501874,Infeasible,22.447577953338623,5.250000000160654,0.0,23,115
68,20_347491_347281_5,DirectionalIncentive_25.0,0.04981734778742459,364802.07999999996,347491.0,20,0.0002868316317949674,347491,5,8.627440167501874,Complete,21.5844247341156,926.259999999945,0.25,40,200
69,20_347491_347281_5,DirectionalIncentive_50.0,0.0480168982793799,364176.44,347491.0,20,0.0002868316317949674,347491,5,8.627440167501874,Complete,23.415947437286377,94.199999999988,0.5,24,120
70,20_347491_347281_5,DirectionalIncentive_75.0,0.04799330054591323,364168.23999999993,347491.0,20,0.0002868316317949674,347491,5,8.627440167501874,Complete,23.616734504699707,85.99999999998795,0.75,24,120
71,20_347491_347281_5,Naive,0.0485867259871479,364374.45,347491.0,20,0.0002868316317949674,347491,5,8.627440167501874,Complete,5.016396999359131,0.41999999998733983,,17,85
72,21_107689_107522_4,Directional,0.02839816508649934,110747.17000000003,107689.0,21,0.0002454480316677595,107689,4,9.639358401874407,Infeasible,17.732900142669678,7638.560000000007,,14,56
73,21_107689_107522_4,DirectionalIncentive_0,0.15310421677237188,124176.63999999996,107689.0,21,0.0002454480316677595,107689,4,9.639358401874407,Complete,548.5694627761841,14693.639999999956,0.0,55,220
74,21_107689_107522_4,DirectionalIncentive_25.0,0.024677822247397587,110346.53,107689.0,21,0.0002454480316677595,107689,4,9.639358401874407,Complete,24.781424283981323,915.5300000000061,0.25,22,88
75,21_107689_107522_4,DirectionalIncentive_50.0,0.027950951350648713,110699.01000000001,107689.0,21,0.0002454480316677595,107689,4,9.639358401874407,Complete,22.23290514945984,1272.0100000000048,0.5,20,80
76,21_107689_107522_4,DirectionalIncentive_75.0,0.027950951350648713,110699.01000000001,107689.0,21,0.0002454480316677595,107689,4,9.639358401874407,Complete,22.73697257041931,1272.0100000000048,0.75,20,80
77,21_107689_107522_4,Naive,0.029122287327396565,110825.15000000001,107689.0,21,0.0002454480316677595,107689,4,9.639358401874407,Complete,5.213777542114258,0.960000000005266,,16,64
78,21_138440_136255_2,Directional,0.002204203987286869,138745.15,138440.0,21,0.00032017176981961876,138440,2,9.04050999245999,Infeasible,16.40034008026123,9352.429999999993,,10,20
79,21_138440_136255_2,DirectionalIncentive_0,0.058669748627564224,146562.24,138440.0,21,0.00032017176981961876,138440,2,9.04050999245999,Complete,31.738662004470825,77.7699999999586,0.0,49,98
80,21_138440_136255_2,DirectionalIncentive_25.0,0.05495600982375026,146048.11,138440.0,21,0.00032017176981961876,138440,2,9.04050999245999,Complete,22.690920114517212,89.43999999998417,0.25,45,90
81,21_138440_136255_2,DirectionalIncentive_50.0,-0.0019726235192140747,138166.91,138440.0,21,0.00032017176981961876,138440,2,9.04050999245999,Complete,21.911004066467285,445.0699999999964,0.5,24,48
82,21_138440_136255_2,DirectionalIncentive_75.0,0.003992198786477846,138992.68,138440.0,21,0.00032017176981961876,138440,2,9.04050999245999,Complete,22.178669452667236,86.36999999999486,0.75,25,50
83,21_138440_136255_2,Naive,0.012185423288067116,140126.95,138440.0,21,0.00032017176981961876,138440,2,9.04050999245999,Complete,5.387956142425537,0.11999999999716238,,15,30
84,21_140540_139681_4,Directional,0.021427707414259367,143551.45,140540.0,21,0.00047163645532444785,140540,4,8.856698103549453,Infeasible,17.56949257850647,7725.970000000016,,11,44
85,21_140540_139681_4,DirectionalIncentive_0,0.18342315355059086,166318.29000000004,140540.0,21,0.00047163645532444785,140540,4,8.856698103549453,Complete,25.114128351211548,29.910000000001816,0.0,49,196
86,21_140540_139681_4,DirectionalIncentive_25.0,0.023525828945495993,143846.32,140540.0,21,0.00047163645532444785,140540,4,8.856698103549453,Infeasible,23.040225982666016,4.000000000014012,0.25,18,72
87,21_140540_139681_4,DirectionalIncentive_50.0,0.02064337555144485,143441.22000000006,140540.0,21,0.00047163645532444785,140540,4,8.856698103549453,Infeasible,22.774200439453125,352.75000000001546,0.5,17,68
88,21_140540_139681_4,DirectionalIncentive_75.0,0.020621460082539084,143438.14000000004,140540.0,21,0.00047163645532444785,140540,4,8.856698103549453,Infeasible,23.08432149887085,297.23000000001593,0.75,17,68
89,21_140540_139681_4,Naive,0.03425188558417539,145353.76,140540.0,21,0.00047163645532444785,140540,4,8.856698103549453,Complete,5.432883977890015,0.8500000000133241,,17,68
90,21_152040_151644_3,Directional,0.04659359379110758,159124.09,152040.0,21,0.00016268148580485237,152040,3,9.814245321734463,Infeasible,15.628575325012207,5237.290000000013,,10,30
91,21_152040_151644_3,DirectionalIncentive_0,0.14106590370955013,173487.66,152040.0,21,0.00016268148580485237,152040,3,9.814245321734463,Complete,24.466867685317993,32.86999999998781,0.0,47,141
92,21_152040_151644_3,DirectionalIncentive_25.0,0.09299210734017375,166178.52000000002,152040.0,21,0.00016268148580485237,152040,3,9.814245321734463,Complete,22.41431498527527,7561.970000000013,0.25,37,111
93,21_152040_151644_3,DirectionalIncentive_50.0,0.04676789002893973,159150.59,152040.0,21,0.00016268148580485237,152040,3,9.814245321734463,Complete,23.314199447631836,59.12000000001245,0.5,31,93
94,21_152040_151644_3,DirectionalIncentive_75.0,0.04676789002893973,159150.59,152040.0,21,0.00016268148580485237,152040,3,9.814245321734463,Complete,23.175506114959717,59.12000000001245,0.75,31,93
95,21_152040_151644_3,Naive,0.04709129176532498,159199.76,152040.0,21,0.00016268148580485237,152040,3,9.814245321734463,Complete,5.322563886642456,1.6900000000113096,,18,54
