,experiment,policy,Gain,Final Value,Initial Value,num_stocks,pct_variance,initial_budget,trading_fee,average_error,status,runtime,leftover_cash,penalty
37,25_34746_33665_4,DirectionalIncentive_175.0,-0.06888102269477117,32352.65998544748,34746.0,25,0.00025085127695289705,34746,4,7.73302248346529,Complete,44.113776206970215,3.5599787710607345,1.75
38,25_34746_33665_4,DirectionalIncentive_200.0,-0.07219363426720213,32237.559983751795,34746.0,25,0.00025085127695289705,34746,4,7.73302248346529,Complete,47.30744194984436,0.8899837517967342,2.0
39,25_34746_33665_4,Naive,-0.08392563241322983,31829.919976169916,34746.0,25,0.00025085127695289705,34746,4,7.73302248346529,Complete,5.055652141571045,0.5999761699163173,
40,28_78940_77433_3,DirectionalIncentive_0.0,-0.0589478084624125,74286.65999997716,78940.0,28,0.0003153551699797752,78940,3,5.894527749057647,Infeasible,220.3746988773346,21.73999997716338,0.0
41,28_78940_77433_3,DirectionalIncentive_25.0,0.04166835563254981,82229.29999363348,78940.0,28,0.0003153551699797752,78940,3,5.894527749057647,Complete,46.33628511428833,0.40998929197551703,0.25
42,28_78940_77433_3,DirectionalIncentive_50.0,0.041418925680290125,82209.6099932021,78940.0,28,0.0003153551699797752,78940,3,5.894527749057647,Complete,44.89790081977844,1.1799932021029562,0.5
43,28_78940_77433_3,DirectionalIncentive_75.0,0.0406135038385808,82146.02999301757,78940.0,28,0.0003153551699797752,78940,3,5.894527749057647,Complete,40.179463148117065,0.34999225063704387,0.75
44,28_78940_77433_3,DirectionalIncentive_100.0,0.03931378255903915,82043.42999521055,78940.0,28,0.0003153551699797752,78940,3,5.894527749057647,Complete,37.26526474952698,0.6299952105545046,1.0
45,28_78940_77433_3,DirectionalIncentive_125.0,0.039898910409351666,82089.61998771422,78940.0,28,0.0003153551699797752,78940,3,5.894527749057647,Complete,54.657713413238525,0.19998259785918115,1.25
46,28_78940_77433_3,DirectionalIncentive_150.0,0.03988864945836036,82088.80998824297,78940.0,28,0.0003153551699797752,78940,3,5.894527749057647,Complete,42.40724325180054,0.37998319963829985,1.5
47,28_78940_77433_3,DirectionalIncentive_175.0,0.039781352799888016,82080.33999002316,78940.0,28,0.0003153551699797752,78940,3,5.894527749057647,Complete,37.6067099571228,7.759986587482604,1.75
48,28_78940_77433_3,DirectionalIncentive_200.0,0.0385125411536703,81980.17999867073,78940.0,28,0.0003153551699797752,78940,3,5.894527749057647,Complete,33.409547090530396,5.0399949747226716,2.0
49,28_78940_77433_3,Naive,0.03960045584373619,82066.05998430453,78940.0,28,0.0003153551699797752,78940,3,5.894527749057647,Complete,5.134054660797119,0.4199843045389571,
50,31_92830_91987_3,DirectionalIncentive_0.0,-0.2414831412733576,70413.11999559421,92830.0,31,0.00016759639045770252,92830,3,8.59016499168368,Infeasible,309.998984336853,2.2099700116092578,0.0
51,31_92830_91987_3,DirectionalIncentive_25.0,-0.03388473586796682,89684.47996937664,92830.0,31,0.00016759639045770252,92830,3,8.59016499168368,Infeasible,18.475102186203003,39.74996937663427,0.25
52,31_92830_91987_3,DirectionalIncentive_50.0,-0.022235376839651686,90765.88996797513,92830.0,31,0.00016759639045770252,92830,3,8.59016499168368,Complete,18.39747929573059,1.4799617282870656,0.5
53,31_92830_91987_3,DirectionalIncentive_75.0,-0.022207476367707153,90768.47996878574,92830.0,31,0.00016759639045770252,92830,3,8.59016499168368,Complete,17.88259792327881,0.1499687857343055,0.75
54,31_92830_91987_3,DirectionalIncentive_100.0,-0.022262630922987883,90763.35997141903,92830.0,31,0.00016759639045770252,92830,3,8.59016499168368,Complete,18.60204005241394,1.6999651720154283,1.0
55,31_92830_91987_3,DirectionalIncentive_125.0,-0.02227674277916682,90762.04996780994,92830.0,31,0.00016759639045770252,92830,3,8.59016499168368,Complete,17.603262186050415,0.3899615628335553,1.25
56,31_92830_91987_3,DirectionalIncentive_150.0,-0.021876333445605595,90799.21996624443,92830.0,31,0.00016759639045770252,92830,3,8.59016499168368,Complete,18.354026079177856,0.7599662444229551,1.5
57,31_92830_91987_3,DirectionalIncentive_175.0,-0.022429495053256,90747.86997420625,92830.0,31,0.00016759639045770252,92830,3,8.59016499168368,Complete,17.95566201210022,0.8299742062492328,1.75
58,31_92830_91987_3,DirectionalIncentive_200.0,-0.022373586496154858,90753.05996556194,92830.0,31,0.00016759639045770252,92830,3,8.59016499168368,Complete,17.821260929107666,1.059959314210193,2.0
59,31_92830_91987_3,Naive,-0.0193003341039091,91038.34998513412,92830.0,31,0.00016759639045770252,92830,3,8.59016499168368,Complete,5.2099387645721436,2.5299851341184194,
