,experiment,policy,Gain,Final Value,Initial Value,num_stocks,pct_variance,initial_budget,trading_fee,average_error,status,runtime,leftover_cash,penalty,total_trades,total_trading_costs
70,20_344413_342723_9,Directional,0.030274757,354840.02,344413,20,0.000225934,344413,9,9.004332116,Infeasible,9.471731186,26084.7,,16,144
71,20_344413_342723_9,DirP_0,0.034789976,356395.12,344413,20,0.000225934,344413,9,9.004332116,Complete,14.39303565,17.47,0,40,360
72,20_344413_342723_9,DirP_25.0,0.035955205,356796.44,344413,20,0.000225934,344413,9,9.004332116,Complete,12.44587111,1685.99,0.25,26,234
73,20_344413_342723_9,DirP_50.0,0.030302834,354849.69,344413,20,0.000225934,344413,9,9.004332116,Infeasible,12.45004559,21561.73,0.5,17,153
74,20_344413_342723_9,DirP_75.0,0.030297405,354847.82,344413,20,0.000225934,344413,9,9.004332116,Infeasible,12.34606957,21559.86,0.75,17,153
75,20_344413_342723_9,DirP_500,0.030297405,354847.82,344413,20,0.000225934,344413,9,9.004332116,Infeasible,12.23671675,21559.86,5,17,153
76,20_344413_342723_9,Naive,0.035677457,356700.78,344413,20,0.000225934,344413,9,9.004332116,Complete,3.718663454,2.01,,17,153
77,20_347491_347281_5,Directional,0.048709405,364417.08,347491,20,0.000286832,347491,5,8.627440168,Infeasible,11.13881469,3558.85,,13,65
78,20_347491_347281_5,DirP_0,0.041811385,362020.08,347491,20,0.000286832,347491,5,8.627440168,Infeasible,13.35336351,5.25,0,23,115
79,20_347491_347281_5,DirP_25.0,0.049817002,364801.96,347491,20,0.000286832,347491,5,8.627440168,Complete,13.04017782,926.14,0.25,40,200
80,20_347491_347281_5,DirP_50.0,0.047993301,364168.24,347491,20,0.000286832,347491,5,8.627440168,Complete,13.75234437,86,0.5,24,120
81,20_347491_347281_5,DirP_75.0,0.047993301,364168.24,347491,20,0.000286832,347491,5,8.627440168,Complete,13.83278656,86,0.75,24,120
82,20_347491_347281_5,DirP_500,0.047958969,364156.31,347491,20,0.000286832,347491,5,8.627440168,Complete,13.69206095,69.07,5,24,120
83,20_347491_347281_5,Naive,0.048586726,364374.45,347491,20,0.000286832,347491,5,8.627440168,Complete,3.73023653,0.42,,17,85
84,21_107689_107522_4,Directional,0.028398165,110747.17,107689,21,0.000245448,107689,4,9.639358402,Infeasible,10.84850168,7638.56,,14,56
85,21_107689_107522_4,DirP_0,0.153104217,124176.64,107689,21,0.000245448,107689,4,9.639358402,Complete,68.2839036,14693.64,0,55,220
86,21_107689_107522_4,DirP_25.0,0.024679308,110346.69,107689,21,0.000245448,107689,4,9.639358402,Complete,13.17982793,915.69,0.25,22,88
87,21_107689_107522_4,DirP_50.0,0.027950951,110699.01,107689,21,0.000245448,107689,4,9.639358402,Complete,13.26573801,1272.01,0.5,20,80
88,21_107689_107522_4,DirP_75.0,0.027950951,110699.01,107689,21,0.000245448,107689,4,9.639358402,Complete,13.42001796,1272.01,0.75,20,80
89,21_107689_107522_4,DirP_500,0.027950951,110699.01,107689,21,0.000245448,107689,4,9.639358402,Complete,13.02995157,1272.01,5,20,80
90,21_107689_107522_4,Naive,0.029122287,110825.15,107689,21,0.000245448,107689,4,9.639358402,Complete,3.902209759,0.96,,16,64
91,21_138440_136255_2,Directional,0.002204204,138745.15,138440,21,0.000320172,138440,2,9.040509992,Infeasible,9.530108452,9352.43,,10,20
92,21_138440_136255_2,DirP_0,0.058787128,146578.49,138440,21,0.000320172,138440,2,9.040509992,Complete,13.86402583,94.02,0,43,86
93,21_138440_136255_2,DirP_25.0,0.054991838,146053.07,138440,21,0.000320172,138440,2,9.040509992,Complete,13.34709454,94.4,0.25,43,86
94,21_138440_136255_2,DirP_50.0,-0.001970818,138167.16,138440,21,0.000320172,138440,2,9.040509992,Complete,13.01247287,445.32,0.5,24,48
95,21_138440_136255_2,DirP_75.0,0.003994005,138992.93,138440,21,0.000320172,138440,2,9.040509992,Complete,13.43987131,86.62,0.75,25,50
96,21_138440_136255_2,DirP_500,0.004031999,138998.19,138440,21,0.000320172,138440,2,9.040509992,Complete,13.20833158,1180.99,5,27,54
97,21_138440_136255_2,Naive,0.012185423,140126.95,138440,21,0.000320172,138440,2,9.040509992,Complete,4.000330448,0.12,,15,30
98,21_140540_139681_4,Directional,0.021427707,143551.45,140540,21,0.000471636,140540,4,8.856698104,Infeasible,10.19013286,7725.97,,11,44
99,21_140540_139681_4,DirP_0,0.183383165,166312.67,140540,21,0.000471636,140540,4,8.856698104,Complete,14.68054032,24.29,0,51,204
100,21_140540_139681_4,DirP_25.0,0.0234297,143832.81,140540,21,0.000471636,140540,4,8.856698104,Infeasible,13.32142663,3.6,0.25,17,68
101,21_140540_139681_4,DirP_50.0,0.020643376,143441.22,140540,21,0.000471636,140540,4,8.856698104,Infeasible,13.32617092,352.75,0.5,17,68
102,21_140540_139681_4,DirP_75.0,0.020643376,143441.22,140540,21,0.000471636,140540,4,8.856698104,Infeasible,13.27057624,352.75,0.75,17,68
103,21_140540_139681_4,DirP_500,0.02062146,143438.14,140540,21,0.000471636,140540,4,8.856698104,Infeasible,13.53052998,297.23,5,17,68
104,21_140540_139681_4,Naive,0.034251886,145353.76,140540,21,0.000471636,140540,4,8.856698104,Complete,4.020490885,0.85,,17,68
105,21_152040_151644_3,Directional,0.046593594,159124.09,152040,21,0.000162681,152040,3,9.814245322,Infeasible,8.970564842,5237.29,,10,30
106,21_152040_151644_3,DirP_0,0.141105499,173493.68,152040,21,0.000162681,152040,3,9.814245322,Complete,13.86600614,38.89,0,46,138
107,21_152040_151644_3,DirP_25.0,0.092992107,166178.52,152040,21,0.000162681,152040,3,9.814245322,Complete,13.6690855,7561.97,0.25,37,111
108,21_152040_151644_3,DirP_50.0,0.046766575,159150.39,152040,21,0.000162681,152040,3,9.814245322,Complete,13.53324342,477.32,0.5,32,96
109,21_152040_151644_3,DirP_75.0,0.046761971,159149.69,152040,21,0.000162681,152040,3,9.814245322,Complete,13.98508763,100.36,0.75,31,93
110,21_152040_151644_3,DirP_500,0.046773086,159151.38,152040,21,0.000162681,152040,3,9.814245322,Complete,13.7949698,35.15,5,32,96
111,21_152040_151644_3,Naive,0.047091292,159199.76,152040,21,0.000162681,152040,3,9.814245322,Complete,4.012945652,1.69,,18,54
112,21_171730_171523_9,Directional,0.044285099,179335.08,171730,21,0.000203959,171730,9,8.1926734,Infeasible,11.92436171,1313.04,,12,108
113,21_171730_171523_9,DirP_0,0.191897455,204684.55,171730,21,0.000203959,171730,9,8.1926734,Complete,15.84202671,1.86,0,57,513
114,21_171730_171523_9,DirP_25.0,0.044679613,179402.83,171730,21,0.000203959,171730,9,8.1926734,Complete,22.99642968,394.41,0.25,26,234
115,21_171730_171523_9,DirP_50.0,0.044868631,179435.29,171730,21,0.000203959,171730,9,8.1926734,Complete,21.34670544,77.93,0.5,25,225
116,21_171730_171523_9,DirP_75.0,0.044868631,179435.29,171730,21,0.000203959,171730,9,8.1926734,Complete,21.8640666,77.93,0.75,25,225
117,21_171730_171523_9,DirP_500,0.044472835,179367.32,171730,21,0.000203959,171730,9,8.1926734,Complete,15.33708596,645.86,5,25,225
118,21_171730_171523_9,Naive,0.043030571,179119.64,171730,21,0.000203959,171730,9,8.1926734,Complete,4.144031763,0.88,,17,153
119,21_19266_18894_2,Directional,-0.029057926,18706.17,19266,21,0.000179882,19266,2,5.943250407,Infeasible,11.38052082,3.27,,13,26
120,21_19266_18894_2,DirP_0,-0.088830582,17554.59,19266,21,0.000179882,19266,2,5.943250407,Infeasible,29.68869495,3.49,0,36,72
121,21_19266_18894_2,DirP_25.0,-0.032894218,18632.26,19266,21,0.000179882,19266,2,5.943250407,Complete,16.17669511,472.87,0.25,25,50
122,21_19266_18894_2,DirP_50.0,-0.031625143,18656.71,19266,21,0.000179882,19266,2,5.943250407,Complete,16.19525003,497.32,0.5,25,50
123,21_19266_18894_2,DirP_75.0,-0.031625143,18656.71,19266,21,0.000179882,19266,2,5.943250407,Complete,16.16809535,497.32,0.75,25,50
124,21_19266_18894_2,DirP_500,-0.032894218,18632.26,19266,21,0.000179882,19266,2,5.943250407,Complete,14.98148251,472.87,5,25,50
125,21_19266_18894_2,Naive,-0.043632306,18425.38,19266,21,0.000179882,19266,2,5.943250407,Complete,4.22107935,0.08,,15,30
126,21_19568_18843_5,Directional,-0.01625971,19249.83,19568,21,0.000852634,19568,5,9.380656384,Infeasible,18.82014489,551.98,,16,80
127,21_19568_18843_5,DirP_0,0.031475879,20183.92,19568,21,0.000852634,19568,5,9.380656384,Complete,28.56564498,43.64,0,46,230
128,21_19568_18843_5,DirP_25.0,-0.016527494,19244.59,19568,21,0.000852634,19568,5,9.380656384,Complete,24.02205968,27.06,0.25,28,140
129,21_19568_18843_5,DirP_50.0,-0.016071648,19253.51,19568,21,0.000852634,19568,5,9.380656384,Complete,25.92073393,288.93,0.5,27,135
130,21_19568_18843_5,DirP_75.0,-0.013260425,19308.52,19568,21,0.000852634,19568,5,9.380656384,Complete,21.12095308,153.27,0.75,27,135
131,21_19568_18843_5,DirP_500,-0.016071648,19253.51,19568,21,0.000852634,19568,5,9.380656384,Complete,24.14967442,288.93,5,27,135
132,21_19568_18843_5,Naive,-0.022048242,19136.56,19568,21,0.000852634,19568,5,9.380656384,Complete,4.217294216,0.05,,19,95
133,21_215013_213542_6,Directional,0.004711855,216026.11,215013,21,0.00016033,215013,6,8.143684958,Infeasible,10.83339953,7200.63,,12,72
134,21_215013_213542_6,DirP_0,-0.053662337,203474.9,215013,21,0.00016033,215013,6,8.143684958,Infeasible,14.79828429,24.05,0,25,150
135,21_215013_213542_6,DirP_25.0,0.007411366,216606.54,215013,21,0.00016033,215013,6,8.143684958,Complete,13.57637239,83.72,0.25,22,132
136,21_215013_213542_6,DirP_50.0,0.004773432,216039.35,215013,21,0.00016033,215013,6,8.143684958,Complete,14.23205972,81.88,0.5,20,120
137,21_215013_213542_6,DirP_75.0,0.004772781,216039.21,215013,21,0.00016033,215013,6,8.143684958,Complete,14.82191491,81.74,0.75,20,120
138,21_215013_213542_6,DirP_500,0.004779432,216040.64,215013,21,0.00016033,215013,6,8.143684958,Complete,14.54149199,83.17,5,20,120
139,21_215013_213542_6,Naive,0.007093246,216538.14,215013,21,0.00016033,215013,6,8.143684958,Complete,4.291681528,-1.18E-11,,16,96
140,21_239452_236795_7,Directional,-0.005449986,238146.99,239452,21,0.000386625,239452,7,8.647652922,Complete,12.34842443,1248.58,,18,126
141,21_239452_236795_7,DirP_0,-0.045640003,228523.41,239452,21,0.000386625,239452,7,8.647652922,Infeasible,15.94901466,0.37,0,24,168
142,21_239452_236795_7,DirP_25.0,0.000307911,239525.73,239452,21,0.000386625,239452,7,8.647652922,Complete,15.70501304,97.48,0.25,34,238
143,21_239452_236795_7,DirP_50.0,-0.002377011,238882.82,239452,21,0.000386625,239452,7,8.647652922,Complete,16.08774924,233.21,0.5,23,161
144,21_239452_236795_7,DirP_75.0,-0.002377011,238882.82,239452,21,0.000386625,239452,7,8.647652922,Complete,16.19228649,233.21,0.75,23,161
145,21_239452_236795_7,DirP_500,-0.002285803,238904.66,239452,21,0.000386625,239452,7,8.647652922,Complete,14.75151634,255.05,5,23,161
